car,price2015,price2016,price2017,price2018,price2019,price2020,price5yeartotal,src
AcuraMDX,0,0.2,0.3,0.39,0.46,0.53,1.07,assets/data/images/acura.png
AudiQ5,0,0.2,0.31,0.41,0.5,0.58,1.16,assets/data/images/audi.png
BmwX5,0,0.23,0.35,0.46,0.55,0.63,1.26,assets/data/images/bmw.png
BmwX6,0,0.23,0.34,0.44,0.53,0.61,1.22,assets/data/images/bmw.png
CadillacESCALADE,0,0.18,0.28,0.37,0.44,0.51,1.03,assets/data/images/cadillac.png
InfinitiQX60,0,0.19,0.29,0.39,0.47,0.54,1.08,assets/data/images/infiniti.png
LandroverRANGEROVER,0,0.18,0.29,0.4,0.48,0.56,1.13,assets/data/images/landrover.png
LexusRX350,0,0.2,0.3,0.39,0.47,0.54,1.09,assets/data/images/lexus.png
LexusLX570,0,0.17,0.26,0.35,0.42,0.49,0.97,assets/data/images/lexus.png
LincolnMKX,0,0.21,0.31,0.41,0.49,0.56,1.13,assets/data/images/lincoln.png
MercedesbenzMCLASS,0,0.22,0.33,0.42,0.5,0.57,1.15,assets/data/images/mercedesbenz.png
PorscheCAYENNE,0,0.22,0.33,0.43,0.51,0.59,1.18,assets/data/images/porsche.png
